"questionId","question","answers","wrongChoices","explanation","hint"
"K-H25-11","H25-11. 道路橋示方書や鉄道構造物等設計標準などの設計基準による液状化の判定に関し、考慮すべき条件として、誤っているものをa～dのなかから選びなさい。","c. せん断抵抗角","a. 平均粒径;b. 地下水位;d. 細粒分含有率","液状化の判定は、主に土の粒度構成（平均粒径、細粒分含有率）とN値、そして地下水位に基づいて行われます。せん断抵抗角(φ)は、土の強度定数であり、液状化のしやすさを直接判定する指標としては用いられません。","液状化しやすい砂質土の特性を考える。"
"K-H25-12","H25-12. 円筒状のピストンＡ、Ｂの内径をそれぞれD1＝５cm、D2＝10cmとする。ピストンＢに質量20kgの荷物を載せたとき、ピストンＡにどれくらいの質量のおもりを加えると荷物を持ち上げることができるか、正しいものをa～dのなかから選びなさい。ただし、ピストンの重さや摩擦は無視できるものとする。","b. 5.0 kg超","a. 2.5 kg超;c. 10.0 kg超;d. 20.0 kg超","パスカルの原理により、圧力(P)は両ピストンで等しくなります(P = F/A)。F1/A1 = F2/A2 が成り立ち、力(F)は質量(m)に比例し、面積(A)は直径(D)の2乗に比例します。m1/D1^2 = m2/D2^2 より、m1 = m2 × (D1/D2)^2 = 20kg × (5/10)^2 = 5.0kg。したがって、5.0kgを超えるおもりで持ち上がります。","パスカルの原理 P = F/A。圧力は等しく、力は面積に比例する。"
"K-H25-13","H25-13. 長方形断面の直線開水路で，層流状態において最も早い流速が発生する位置として、正しいものをa～dのなかから選びなさい。ただし、空気の抵抗は無視できるものとする。","a. 中央の水面","b. 中央の水中;c. 壁面寄りの水面;d. 壁面寄りの水中","開水路の流れでは、水路の壁面や底面との摩擦によって流速が遅くなります。したがって、摩擦の影響が最も少ない、壁や底から最も離れた場所で流速が最大になります。空気の抵抗を無視すれば、それは水路中央の水面となります。","流れに対する抵抗（摩擦）が最も小さい場所はどこか？"
"K-H25-14","H25-14. コンクリートの性質に関する記述として、正しいものをa～dのなかから選びなさい。","d. コンクリートに一定の持続荷重を加えると、ひずみは時間の経過とともに増加する。この現象をクリープという。","a. コンクリートの強度は、コンクリート打設後28日を経過した以降、劣化により低下する。;b. 高流動コンクリートは、一般のコンクリートに比べ、入念な締固めが必要である。;c. コンクリートの温度ひび割れは、圧縮応力によって発生する。","a: 強度は長期的に増進します。b: 高流動コンクリートは自己充填性があり締固めは不要です。c: 温度ひび割れは温度低下時の引張応力で発生します。d: クリープの定義として正しい記述です。","コンクリートの長期的な性質（強度、変形）を思い出す。"
"K-H25-15","H25-15. 地盤改良工法の名称として、誤っているものをa～dのなかから選びなさい。","a. オールケーシング工法","b. バーチカルドレーン工法;c. 中層混合処理工法;d. サンドコンパクションパイル工法","オールケーシング工法は、場所打ち杭の施工方法の一つです。地盤を改良する工法ではありません。バーチカルドレーン、中層混合処理、サンドコンパクションパイルは、それぞれ圧密促進、固化、締固めによる地盤改良工法です。","工法の目的が「地盤改良」か「杭の施工」かを見分ける。"
"K-H25-16","H25-16. 右図の円周角θとして、正しいものをa～dのなかから選びなさい。（3:2:4の内接する三角形の一番尖っている角度。外接円なので180/比率）","c. 40度","a. 36度;b. 38度;d. 42度","円周角は、その角に対する弧の中心角の半分です。弧の長さの比が3:2:4なので、中心角の比も3:2:4となります。円の中心角の合計は360度なので、θに対する弧の中心角は 360度 × {2 / (3+2+4)} = 80度。したがって、円周角θは 80度 / 2 = 40度となります。","円周角と中心角の関係、そして弧の長さと中心角の比例関係を考える。"
"K-H25-17","H25-17. 長さの単位の換算として、誤っているものをa～dのなかから選びなさい。","c. 1インチ ＝約5.0cm","a. 1間(けん)＝約1.8ｍ;b. 1ヤード ＝約91cm;d. 1マイル ＝約1600ｍ","1インチは約2.54cmです。約5.0cmではありません。他の選択肢は、1間≒1.818m、1ヤード=91.44cm、1マイル≒1609mであり、概ね正しい換算値です。","インチ(inch)は親指の幅に由来する単位。"
"K-H25-18","H25-18. 土木学会では、我が国の土木遺産の顕彰を通じて歴史的土木構造物の保存に資することを目的として、平成12年度に選奨土木遺産の認定制度を創設した。「選奨土木遺産」として、誤っているものをa～dのなかから選びなさい。","c. 宇高航路関連施設（岡山県玉野市、香川県高松市）","a. 稚内港北防波堤ドーム（北海道稚内市）;b. 万代橋（新潟県新潟市）;d. 若津港導流堤（筑後川デ・レーケ堤）（福岡県/大川市ほか）","稚内港北防波堤ドーム、万代橋、若津港導流堤はいずれも選奨土木遺産に認定されています。宇高航路関連施設は、鉄道連絡船の廃止に伴いその役目を終えた施設であり、土木遺産としては認定されていません（一部は近代化産業遺産）。","有名な土木構造物を思い浮かべる。"
"K-H25-19","H25-19. 以下のエネルギーに関する記述として、誤っているものをa～dのなかから選びなさい。","d. 太陽熱利用では水や空気などの熱媒体を暖めるため、冷房システムに活用できない。","a. シェールガスは頁岩（シェール）層から採取される天然ガスで、石油に代わる安価なエネルギー源として注目されている。;b. メタンハイドレートは化石燃料の一種であるため、再生可能エネルギーには含まれない。;c. バイオマス発電では、動植物などから生まれた生物資源（バイオマス）をエネルギー源としている。","太陽熱を利用して作った温水を吸収式冷凍機の熱源として使うことで、冷房システムに活用することが可能です。これをソーラークーリングシステムと呼びます。","熱エネルギーを冷熱に変換する技術（吸収式冷凍機など）の存在を考える。"
"K-H25-20","H25-20. 生活環境の保全に関する環境基準項目のうち、河川の水質汚濁に関するものとして、誤っているものをa～dのなかから選びなさい。","c. 化学的酸素要求量（COD）","a. 生物化学的酸素要求量（BOD）;b. 水素イオン濃度（pH）;d. 溶存酸素量（DO）","河川の有機汚濁の指標としては、主に生物化学的酸素要求量（BOD）が用いられます。化学的酸素要求量（COD）は、主に湖沼や海域の有機汚濁の指標として用いられます。","河川はBOD、湖沼・海域はCOD。"
"K-H26-1","H26-1. 縮尺1/500の平面図において面積が400cm2ある場合、実際の面積は何m2になるか、正しいものをa～dのなかから選びなさい。","c. 10000m2","a. 200m2;b. 2000m2;d. 1000000m2","面積の縮尺は、長さの縮尺の2乗になります。したがって、実際の面積は図面上の面積の500^2倍です。実際の面積 = 400cm2 × 500^2 = 400 × 250000 = 100,000,000 cm2。これをm2に換算すると、1m2 = 10000cm2 なので、100,000,000 cm2 ÷ 10000 = 10,000 m2 となります。","面積の縮尺は、長さの縮尺の「2乗」。"
"K-H26-2","H26-2. 等高線の一般的性質についての配述として、誤っているものをa～dのなかから選びなさい。","d. 緩傾斜の所は、急傾斜の所に路ぺて等高線間隔は狭くなる。","a. 等高線とは、「等しい高さを結んだ線」である。;b. 傾斜が一様な所では、等高線間隔は等しい。;c. 1本の等高線は、一般には閉合する場合が多い。","等高線間隔が狭いほど傾斜が急であり、間隔が広いほど傾斜が緩やかになります。したがって、「緩傾斜の所は等高線間隔は狭くなる」という記述は逆であり誤りです。","山の地図を思い浮かべる。急な斜面と緩やかな斜面で等高線の間隔はどうなっているか？"
"K-H26-3","H26-3. 右図の柱の上端（A点）に水平力Pが作用する場合、柱下端（B点）でのせん断力を表す式として正しいものをa～dのなかから選びなさい。","a. S=P","b. S=PL;c. S =PL^2;d. S＝PL/2","水平方向の力のつり合いを考えると、柱に作用する外力Pと、支点に生じる反力（せん断力S）は等しくなければなりません。したがって、S = P となります。","水平方向の「力のつり合い」を考える。"
"K-H26-4","H26-4. 円形断面の中立軸（X-X）に閲する断面二次モーメントを表す式として、正しいものをa～dのなかから選びなさい。","d. I＝πd^4/64","a. I＝πd^3/32;b. I＝πd^3/64;c. I＝πd^4/32","円形断面の断面二次モーメントの公式は I = πd^4 / 64 です。これは基本的な公式として覚える必要があります。","断面二次モーメントの単位は長さの4乗。"
"K-H26-5","H26-5. 下図のような単純梁に荷量Pが作用した場合に、作用点Cに生じる曲げモーメントとして正しいものをa～dのなかから選びなさい。","a. 100kN・m","b. 200kN・m;c. 300kN・m;d. 400kN・m","まず支点反力を求めます。A点、B点ともに50kN。C点の曲げモーメントは、A点からの距離2mと支点反力50kNの積で求められます。M = 50kN × 2m = 100kN・m。","単純梁の曲げモーメント M = (Pab)/L 。"
"K-H26-6","H26-6. 鋼材の種類を表す記号（JIS規格）のうち、溶接構造用圧延鋼材を表すものとして、正しいものをa～dのなかから選びなさい。","b. SM","a. SS;c. STK;d. SD","SSは一般構造用圧延鋼材、SMは溶接構造用圧延鋼材、STKは一般構造用炭素鋼鋼管、SDは鉄筋コンクリート用棒鋼（鉄筋）の記号です。","SはSteel、MはMarine（元々は造船用）やMain（主要な）を意味する。"
"K-H26-7","H26-7. 常時状態の一般の設計における、鉄筋コンクリートの計算上の基本的な仮定として、明らかに誤っているものをa～dのなかから選びなさい。","d. 鉄筋コンクリートの部材の断面決定および応力計算は、部材を弾塑性体として取り扱う。","a. コンクリートと鉄筋は一体として働くものとする。;b. 曲げモーメントを受ける部材を設計する場合、コンクリートの引張応力は無視する。;c. 部材に曲げモーメントを受けた場合、ある断面に起こるひずみは中立軸からの距離に比例する。","常時の設計（許容応力度設計法）では、部材を「弾性体」として取り扱います。弾塑性体として取り扱うのは、終局状態を考える限界状態設計法などです。","常時の設計は「弾性」の範囲で考える。"
"K-H26-8","H26-8. プレストレストコンクリートに関する記述として、誤っているものをa～dのなかから選びなさい。","c. コンクリートが硬化した後に、PC鋼材の緊張をゆるめてコンクリートにプレストレスを与える方式をポストテンション方式という。","a.コンクリートにプレストレスを与える程度によって、フルプレストレッシングとパーシャルプレストレッシングがある。;b.コンクリートの乾燥収縮・クリープ、鋼材のレラクセーションなどが終わった後に、コンクリートに生じているプレストレスを有効プレストレスという。;d.ポストテンション方式においては、PC鋼材を配置する鋼製の筒状のものをシースという。","コンクリートが硬化した後にPC鋼材を緊張し、定着させてプレストレスを与えるのが「ポストテンション方式」です。あらかじめ緊張しておいたPC鋼材の周りにコンクリートを打ち、硬化後に緊張をゆるめてプレストレスを与えるのは「プレテンション方式」です。","Postは「後」、Preは「前」。コンクリート打設の「前」か「後」か。"
"K-H26-9","H26-9. 抗土庄構造物が背面地盤から離れる方向に変位するとき、背面地盤の土圧は減少し一定値に落ち着〈が、このときの土庄のうち、正しいものをa～dのなかから選びなさい。","a. 主働土圧","b. 受働土圧;c. 鉛直土圧;d. 静止土圧","擁壁などが背面地盤から離れる（土が壁を押す）方向に変位するときに作用する土圧が「主働土圧」です。逆に、壁が地盤を押し込む方向に変位するときに作用するのが「受働土圧」です。","壁が土から「押される」＝主働。"
"K-H26-10","H26-10. 土の原位置試践に闘して、誤っているものをa～dのなかから選びなさい。","c. 一軸圧縮誠験","a. ベーン試験;b. スウェーデン式サウンディング試験;d. 平板載荷試験","一軸圧縮試験は、採取した土の試料を試験室に持ち帰って行う「室内試験」です。ベーン試験、スウェーデン式サウンディング試験、平板載荷試験は、現場（原位置）で地盤を直接調べる試験です。","「原位置」か「室内」か。"
"K-H26-11","H26-11. 周辺地盤の沈下により、杭に下向きの摩撮力が作用する現象として、正しいものをa～dのなかから選びなさい。","d. ネガティプフリクション","a. ボイリング;b. パイピング;c. ヒーピング","圧密沈下する軟弱地盤中に杭がある場合、杭の周面摩擦力が通常の支持力とは逆の「下向き」に作用し、杭の支持力を低下させます。この現象をネガティブフリクション（負の摩擦力）といいます。","Negative（負の） Friction（摩擦）。"
"K-H26-12","H26-12. レイノルズ数に閲する記述として、誤っているものをa～dのなかから選びなさい。","d. レイノルズ数は、流体の粘性係数に比例する。","a. レイノルズ数は、無次元量である。;b. レイノルズ数は、流体の密度に比例する。;c. レイノルズ数は、流体の速度に比例する。","レイノルズ数(Re)は、慣性力と粘性力の比を表す無次元数で、Re = ρvL / μ で表されます。ここで、ρは密度、vは速度、Lは代表長さ、μは粘性係数です。式からわかるように、レイノルズ数は粘性係数μに「反比例」します。","Re = ρvL / μ の公式を思い出す。"
"K-H26-13","H26-13. 水槽に3.0mの高さまで水を入れ、その上に1.0mの高さまで油を入れた。油面から深さ3.0mの位置での静水圧として、正しいものをa～dのなかから選びなさい。ただし、重力加速度を9.Sm/s2、水の密度を1000kg/m3、の密度を800kg/m3とし、油面の圧力はゼ口とする。","c. 27.4 kPa","a. 13.7 kPa;b. 18.6 kPa;d. 37.2 kPa","油面から深さ3.0mの位置は、油層が1.0m、水層が2.0mの地点です。静水圧P = P油 + P水 = ρ油gh油 + ρ水gh水 = 800×9.8×1.0 + 1000×9.8×2.0 = 7840 + 19600 = 27440 Pa ≒ 27.4 kPa。","静水圧 P = ρgh。油の層と水の層、それぞれの圧力を足し合わせる。"
"K-H26-14","H26-14. 河川堤防の堤体材料として、不適当なものをa～dのなかから選びなさい。","a. 高有機質土","b. 粘性土;c. 砂質土;d. 磯質土","高有機質土（腐植土など）は、圧縮性が高く、水を含むと強度が著しく低下するため、堤防のような構造物の材料としては不適当です。締固めが可能な粘性土、砂質土、礫質土が用いられます。","植物などが多く含まれる土は、構造物の材料として安定しているか？"
"K-H26-15","H26-15. 建設機械に使用されるディーゼルエンジンとガソリンエンジンを比較した記述について、誤っているものをa～dのなかから選びなさい。","b. 熱効率は，ディーゼルエンジンの方が低い。","a. 排出ガス中の粒子状物質（PM）の発生は，ディーゼルエンジンの方が多い。;c. 騒音は，ディーゼルエンジンの方が高い。;d. 耐久性は，ディーゼルエンジンの方が高い。","ディーゼルエンジンは、ガソリンエンジンに比べて圧縮比が高く、熱効率が良い（燃費が良い）という特徴があります。","トラックやバスがディーゼルエンジンを多く採用する理由は？"
"K-H26-16","H26-16. 3辺の長さが5、5、6である2等辺三角形の面積として、正しいものをa～dのなかから選びなさい。","c. 12","a. 15;b. 9√2;d. 6√3","頂点から底辺6に垂線を下ろすと、底辺は3と3に二等分されます。三平方の定理より、高さhは h^2 + 3^2 = 5^2 となり、h=4とわかります。三角形の面積 = 底辺 × 高さ ÷ 2 = 6 × 4 ÷ 2 = 12。","二等辺三角形の頂点から底辺に垂線を下ろす。"
"K-H26-17","H26-17. 濃度の分からない食塩水が200gある。これに10%の食塩水を300g混ぜたら8%の食塩水になった。はじめの食塩水の濃度として、正しいものをa～dのなかから選びなさい。","b. 5%","a. 4%;c. 6%;d. 7%","はじめの食塩水の濃度をx%とすると、含まれる食塩の量は (200 × x/100) + (300 × 10/100) = (200+300) × 8/100 という式が成り立ちます。これを解くと、2x + 30 = 40 となり、x=5 となります。","混ぜる前と後で、中に溶けている「食塩の量」は変わらない。"
"K-H26-18","H26-18. 仕事を通じて行われる人材育成の1つの手法としてOJT（On the Job Training）がある。1人の社員に対して実施するOJTの長所として、誤っているものをa～dのなかから選びなさい。","b. 指導者が1人の場合、指導者の個人的能力や意欲に左右されにくい。","a. 指導者が1人の場合、一貫した指導を与えやすい。;c. 指導者が複数の場合、指導者同士で検討や相談しながら指導できる。;d. 指導者が複数の場合、指導者の1人が不在でも常に指導する者がいる。","指導者が1人の場合、その指導者の能力や意欲、指導方法に教育効果が大きく依存してしまいます。したがって、「左右されにくい」という記述は誤りです。","指導者が1人しかいない状況を想像する。"
"K-H26-19","H26-19. 対策の検討が進められている南海トラフの大規模地震として、誤っているものをa～dのなかから選びなさい。","d. 西海地震","a. 東海地震;b. 東南海地震;c. 南海地震","南海トラフ沿いで発生が想定されている大規模地震は、東海地震、東南海地震、南海地震です。これらは連動して発生する可能性も指摘されています。西海地震という名称の地震は、この文脈では該当しません。","日本の太平洋側のプレート境界で想定されている地震の名称。"
"K-H26-20","H26-20. リスクマネジメントにおいて、リスクへの対応方法として、誤っているものをa～dのなかから選びなさい。","a. リスクの拡散","b. リスクの回避;c. リスクの低減;d. リスクの移転","リスクへの対応方法の基本は、リスクの発生源をなくす「回避」、発生確率や影響度を下げる「低減」、保険などで他者に負担を移す「移転」、リスクを受け入れる「保有（受容）」の4つです。「拡散」は一般的なリスク対応の分類には含まれません。","リスクにどう立ち向かうか？「避ける」「減らす」「任せる」「受け入れる」。"
"K-H27-1","H27-1. トラパース測量と同義語として、正しいものをa～dのなかから選びなさい。","d. 多角測量","a. 水準測量;b. 多角測量;c. 平板測量","トラバース測量は、複数の測点を多角形に結び、各辺の長さと角度を測定して各点の座標を決定する測量方法であり、「多角測量」と全く同じ意味です。","トラバース(traverse)は英語で「横断する」という意味。"
"K-H27-2","H27-2. 人工衛星によるGPS技術が応用されているものとして、誤っているものをa～dのなかから選びなさい。","a. CALS/EC","b. 斜面の変位計測;c. カーナピゲーション;d. 地殻変動調査","CALS/ECは、公共事業の計画から維持管理までの情報を電子化し、共有・活用するための仕組みであり、GPS技術そのものを直接応用したものではありません。斜面の変位計測（GNSS測量）、カーナビ、地殻変動調査はGPS技術の代表的な応用例です。","CALS/ECの目的は情報の「電子化」と「共有」。"
"K-H27-3","H27-3. 単純ばりの中央に荷重Pが作用した時の最大たわみについて、誤っているものをa～dのなかから選びなさい。","c. はりの断面二次モーメントIに正比例する。","a. 荷重Pに正比例する。;b. はりのヤング係数（弾性係数） Eに逆比例する。;d. 支間Lの3乗に正比例する。","単純梁中央集中荷重の最大たわみδmaxの公式は、δmax = PL^3 / (48EI) です。この式から、たわみは断面二次モーメントIに「逆比例」することがわかります。","δmax = PL^3 / (48EI) の公式を思い出す。"
"K-H27-4","H27-4. 右図のように単純梁の中間に等しい集中荷重が2個載荷されている場合の曲げモーメント図として、正しいものをa～dのなかから選びなさい。","d. 図D","a. 図A;b. 図B;c. 図C","左右対称の荷重なので、支点反力はそれぞれPとなります。梁の端から荷重Pまでの区間はモーメントが直線的に増加し、2つの荷重Pの間は、せん断力がゼロになるためモーメントが一定（台形）になります。","2つの集中荷重の間は、せん断力がゼロになる。"
"K-H27-5","H27-5. 下図のような矩形断面における中立軸（X-X）廻りの断面二次モーメントとして、正しいものをa～dのなかから選びなさい。（図中の数字の単位はmm)","c. 500cm4","a. 60cm4;b. 100cm4;d. 100cm4","矩形断面の断面二次モーメントIの公式は I = bh^3 / 12 です。I = 60mm × (100mm)^3 / 12 = 5,000,000 mm4。これをcm4に換算すると、1cm4 = 10^4 mm4 なので、5,000,000 mm4 ÷ 10000 = 500 cm4 となります。","I = bh^3 / 12。単位の換算（mm4 → cm4）に注意。"
"K-H27-6","H27-6. 石材が古くからアーチ橋に使用されている主な理由として、正しいものをa～dのなかから選びなさい。","b. 圧縮強度が大きい。","a. 加工しやすい。;c. すりへり抵抗が大きい。;d. 施工が容易である。","アーチ構造は、荷重を部材の圧縮力として伝達する構造形式です。石材は引張には弱いですが、圧縮には非常に強いという特性を持つため、アーチ構造と非常に相性が良く、古くから橋や建造物に使用されてきました。","アーチ構造にはどのような力が作用するか？"
"K-H27-7","H27-7. 鉄筋コンクリートに関する記述として、誤っているものをa～dのなかから選びなさい。","b. 耐火性に劣るのが欠点である。","a. 硬化時に収縮してひびわれを生じやすい性質がある。;c. 部材中の圧縮力はコンクリートで、引張力は鉄筋で受け持たせるのが一般的である。;d. 鋼材のさびの発生を防ぐ利点がある。","コンクリートは不燃材料であり、熱伝導率も低いため、鉄骨構造などに比べて耐火性に優れています。これが鉄筋コンクリートの大きな利点の一つです。","火災現場のビルを想像する。鉄骨とコンクリート、どちらが熱に強いか？"
"K-H27-8","H27-8. 鋼材の性質に関する記述として、誤っているものをa～dのなかから選びなさい。","a. 鉄筋のSD345の引張強度は、345N/mm2である。","b. ニッケル系高耐候性鋼材は、塩分に対する耐腐食性能を向上させた鋼材である。;c. 鋼材の降伏点は板厚によって異なるが、板厚が厚くなると降伏点は低下する。;d. 鋼のヤング係数は2.0×l05N/mm2である。","鉄筋のJIS規格におけるSD345の「345」という数字は、降伏点（または耐力）が345N/mm2以上であることを示しています。「引張強度」ではありません。","SDXXXの数字は何を表しているか？降伏点か、引張強度か。"
"K-H27-9","H27-9. 非庄密非排水三軸圧縮試験の一般的な表記として、Eしいものをa～dのなかから選びなさい。","c. UU試験","a. CD試験;b. CU試験;d. C'U'試験","圧密(Consolidated)か非圧密(Unconsolidated)か、排水(Drained)か非排水(Undrained)かの頭文字の組み合わせで表記されます。非圧密・非排水なので、Unconsolidated Undrained Test、略してUU試験となります。","UはUnconsolidated/Undrained、CはConsolidated、DはDrained。"
"K-H27-10","H27-10. 設計上、半無限長の弾性体として取り扱われることが最も多い基礎として、正しいものをa～dのなかから選びなさい。","d. 杭基礎","a. ケーソン基礎;b. 鋼管矢板基礎;c. 地中連続壁基礎","杭基礎は、地盤中に打ち込まれた杭の先端支持力と周面摩擦力で荷重を支えるため、他の基礎形式に比べて地盤の広がり（半無限弾性体）を仮定した理論解との親和性が高いです。ケーソンなどは剛体としての挙動が支配的になります。","どの基礎が地盤と一体となって挙動するか？"
"K-H27-11","H27-11. 土の室内試験として、誤っているものをa～dのなかから選びなさい。","b. 孔内水平載荷試験","a. 一軸圧縮試験;c. 粒度試験;d. 密度試験","孔内水平載荷試験は、ボーリング孔を利用して「原位置」の地盤の変形特性を調べる試験です。一軸圧縮試験、粒度試験、密度試験は、採取した土を試験室に持ち帰って行う「室内試験」です。","「孔内」という言葉から、どこで試験を行うか考える。"
"K-H27-12","H27-12. 次の式はベルヌーイの定理を表わしたものである。記号の説明として、誤っているものをa～dのなかから選びなさい。 v^2/2g+p/ρg+z＝Ho＝一定","c. z ：損失水頭","a. v^2/2g：速度水頭;b. p/ρg：圧力水頭;d. Ho：全水頭","ベルヌーイの定理において、zは基準面からの高さを示す「位置水頭」です。損失水頭は、管摩擦などによって失われるエネルギーを表し、この基本的な式には含まれません。","エネルギー保存則。運動エネルギー、圧力エネルギー、そして？"
"K-H27-13","H27-13. 動水勾配lと径深Rが一定の水路で、粗度係数nが0.02から0.01に変化したときの平均流速vの変化の記述として、正しいものをa～dのなかから選びなさい。ただし、平均流速vはマニングの公式を使うものとする。","d. 2.0倍になる","a. 0.5倍になる;b. 0.8倍になる;c. 1.5倍になる","マニングの公式 v = (1/n) × R^(2/3) × I^(1/2) より、流速vは粗度係数nに反比例します。nが0.02から0.01へと1/2倍になったので、流速vは2倍になります。","v = (1/n) × R^(2/3) × I^(1/2)。vとnの関係は？"
"K-H27-14","H27-14. 液状化の防止を目的とした地盤改良工法として、誤っているものをa～dのなかから選びなさい。","a. サンドドレーン工法","b. サンドコンパクションパイル工法;c. 深層混合処理工法;d. 薬液注入工法","サンドドレーン工法は、粘性土地盤に砂の排水路を設けて圧密沈下を促進させる工法であり、液状化対策が主目的ではありません。サンドコンパクション（締固め）、深層混合（固化）、薬液注入（固化）は液状化対策として用いられます。","各工法の主目的は何か？「圧密促進」か「締固め・固化」か。"
